,# mesurment,ex_wl,spectro_center_wl,grating,spf,lpf,lpf2,av_power,std_power,num_power,time_taken,ex_time,em_wl,counts
0,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,131.38423,3090.0
1,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,131.38423,3095.0
2,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,131.38423,3086.0
3,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,131.38423,3118.0
4,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,131.38423,3095.0
5,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,131.38423,3098.0
6,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,131.38423,3101.0
7,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,131.38423,3106.0
8,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,131.38423,3095.0
9,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,131.38423,3108.0
10,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,131.90973,3100.0
11,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,131.90973,3110.0
12,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,131.90973,3114.0
13,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,131.90973,3122.0
14,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,131.90973,3116.0
15,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,131.90973,3087.0
16,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,131.90973,3088.0
17,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,131.90973,3118.0
18,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,131.90973,3098.0
19,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,131.90973,3087.0
20,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,132.43523,3060.0
21,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,132.43523,3082.0
22,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,132.43523,3098.0
23,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,132.43523,3094.0
24,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,132.43523,3076.0
25,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,132.43523,3110.0
26,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,132.43523,3089.0
27,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,132.43523,3090.0
28,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,132.43523,3092.0
29,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,132.43523,3061.0
30,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,132.96072,3097.0
31,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,132.96072,3084.0
32,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,132.96072,3086.0
33,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,132.96072,3080.0
34,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,132.96072,3079.0
35,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,132.96072,3119.0
36,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,132.96072,3083.0
37,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,132.96072,3098.0
38,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,132.96072,3088.0
39,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,132.96072,3104.0
40,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,133.48622,3110.0
41,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,133.48622,3089.0
42,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,133.48622,3089.0
43,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,133.48622,3101.0
44,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,133.48622,3095.0
45,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,133.48622,3105.0
46,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,133.48622,3072.0
47,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,133.48622,3082.0
48,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,133.48622,3098.0
49,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,133.48622,3105.0
50,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,134.01172,3099.0
51,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,134.01172,3099.0
52,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,134.01172,3103.0
53,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,134.01172,3092.0
54,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,134.01172,3098.0
55,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,134.01172,3104.0
56,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,134.01172,3091.0
57,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,134.01172,3114.0
58,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,134.01172,3095.0
59,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,134.01172,3088.0
60,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,134.53722,3106.0
61,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,134.53722,3054.0
62,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,134.53722,3109.0
63,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,134.53722,3098.0
64,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,134.53722,3092.0
65,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,134.53722,3088.0
66,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,134.53722,3100.0
67,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,134.53722,3099.0
68,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,134.53722,3098.0
69,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,134.53722,3093.0
70,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,135.06271,3107.0
71,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,135.06271,3091.0
72,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,135.06271,3087.0
73,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,135.06271,3105.0
74,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,135.06271,3086.0
75,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,135.06271,3113.0
76,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,135.06271,3098.0
77,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,135.06271,3074.0
78,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,135.06271,3090.0
79,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,135.06271,3098.0
80,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,135.5882,3108.0
81,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,135.5882,3096.0
82,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,135.5882,3093.0
83,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,135.5882,3092.0
84,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,135.5882,3076.0
85,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,135.5882,3106.0
86,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,135.5882,3093.0
87,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,135.5882,3091.0
88,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,135.5882,3089.0
89,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,135.5882,3110.0
90,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,136.11369,3087.0
91,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,136.11369,3096.0
92,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,136.11369,3087.0
93,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,136.11369,3107.0
94,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,136.11369,3105.0
95,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,136.11369,3079.0
96,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,136.11369,3076.0
97,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,136.11369,3099.0
98,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,136.11369,3100.0
99,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,136.11369,3104.0
100,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,136.63918,3069.0
101,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,136.63918,3101.0
102,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,136.63918,3102.0
103,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,136.63918,3094.0
104,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,136.63918,3064.0
105,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,136.63918,3089.0
106,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,136.63918,3106.0
107,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,136.63918,3087.0
108,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,136.63918,3118.0
109,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,136.63918,3098.0
110,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,137.16467,3079.0
111,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,137.16467,3090.0
112,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,137.16467,3110.0
113,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,137.16467,3092.0
114,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,137.16467,3101.0
115,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,137.16467,3108.0
116,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,137.16467,3083.0
117,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,137.16467,3071.0
118,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,137.16467,3085.0
119,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,137.16467,3086.0
120,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,137.69016,3068.0
121,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,137.69016,3083.0
122,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,137.69016,3094.0
123,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,137.69016,3072.0
124,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,137.69016,3105.0
125,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,137.69016,3082.0
126,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,137.69016,3105.0
127,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,137.69016,3095.0
128,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,137.69016,3100.0
129,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,137.69016,3092.0
130,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,138.21564,3095.0
131,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,138.21564,3092.0
132,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,138.21564,3103.0
133,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,138.21564,3101.0
134,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,138.21564,3090.0
135,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,138.21564,3104.0
136,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,138.21564,3082.0
137,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,138.21564,3088.0
138,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,138.21564,3079.0
139,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,138.21564,3098.0
140,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,138.74112,3115.0
141,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,138.74112,3099.0
142,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,138.74112,3112.0
143,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,138.74112,3090.0
144,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,138.74112,3109.0
145,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,138.74112,3113.0
146,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,138.74112,3097.0
147,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,138.74112,3104.0
148,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,138.74112,3110.0
149,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,138.74112,3071.0
150,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,139.2666,3069.0
151,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,139.2666,3105.0
152,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,139.2666,3089.0
153,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,139.2666,3077.0
154,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,139.2666,3106.0
155,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,139.2666,3110.0
156,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,139.2666,3089.0
157,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,139.2666,3099.0
158,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,139.2666,3112.0
159,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,139.2666,3118.0
160,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,139.79208,3086.0
161,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,139.79208,3086.0
162,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,139.79208,3100.0
163,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,139.79208,3088.0
164,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,139.79208,3103.0
165,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,139.79208,3112.0
166,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,139.79208,3111.0
167,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,139.79208,3078.0
168,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,139.79208,3090.0
169,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,139.79208,3076.0
170,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,140.31757,3087.0
171,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,140.31757,3090.0
172,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,140.31757,3102.0
173,4,450,550,2,500,500,0,1.0438447052525253e-05,8.958999625097261e-09,99.0,h16m41,10,140.31757,3098.0
174,5,450,550,2,500,500,0,1.0440212075757576e-05,9.109192040345623e-09,99.0,h16m43,10,140.31757,3080.0
175,6,450,550,2,500,500,0,1.0439594743564359e-05,9.292039053020316e-09,101.0,h16m45,10,140.31757,3089.0
176,7,450,550,2,500,500,0,1.0451156589898992e-05,9.955172852153854e-09,99.0,h16m48,10,140.31757,3095.0
177,8,450,550,2,500,500,0,1.0452488013131314e-05,9.15691702803467e-09,99.0,h16m50,10,140.31757,3085.0
178,9,450,550,2,500,500,0,1.0449956805050506e-05,8.061684199245117e-09,99.0,h16m52,10,140.31757,3103.0
179,10,450,550,2,500,500,0,1.0449317369696969e-05,8.784673496429965e-09,99.0,h16m54,10,140.31757,3092.0
180,1,450,550,2,500,500,0,1.042789396122449e-05,9.117672988366157e-09,98.0,h16m34,10,140.84305,3068.0
181,2,450,550,2,500,500,0,1.04338282989899e-05,9.652872231762263e-09,99.0,h16m37,10,140.84305,3099.0
182,3,450,550,2,500,500,0,1.043818277878788e-05,9.6273535131376e-09,99.0,h16m39,10,140.84305,3090.0
